Year,FIO-ESM,NorESM1-ME,BCC-CSM1-1,MRI-CGCM3,CanESM2,CESM1-CAM5,GISS-E2-H,MIROC-ESM-CHEM,MIROC-ESM,HadGEM2-ES,FGOALS-g2,ACCESS1-0,BNU-ESM,MIROC5,CMCC-CMS,HadGEM2-AO,FGOALS-s2,INMCM4,CSIRO-Mk3-6-0,GISS-E2-R,ACCESS1-3,CCSM4,CNRM-CM5,GFDL-CM3,NorESM1-M,IPSL-CM5B-LR,GFDL-ESM2M,CESM1-BGC,CMCC-CM,MPI-ESM-MR,MPI-ESM-LR,EC-EARTH,IPSL-CM5A-MR,HadGEM2-CC,IPSL-CM5A-LR,GFDL-ESM2G
2024,0.46929911566752475,2.1286065719434455,2.6310309772853446,3.3497141067160316,2.5331878270757002,2.893122655597282,2.762419364433302,2.822066576143658,2.822066576143658,2.6434406175895977,2.7027166779945575,2.6651031042543885,2.623794642982487,2.8170181653091384,2.4527240409132416,2.2876818224023534,2.777144284224621,2.0810467130539054,1.573983260961876,2.2390212331166564,2.658021651210882,1.9217384779086983,2.893217752489089,2.9793404071769745,3.7272721048995368,2.2131321790140097,2.8398788438221456,2.365361739579971,2.6995186728456475,2.8102169520603892,2.301139203664029,1.8138881233607977,2.1100339393967484,3.473224825569246,2.0032793187453333,1.917646187720368
2025,0.49455181179593405,2.1407687450299284,2.8006713295622125,3.464379569866832,2.4889285199676134,2.9076853823044844,2.7757449293179164,2.872093805319631,2.872093805319631,2.649909025040101,2.7845497278764233,2.5664446891325956,2.5810763930096874,2.7432149923773492,2.5026104033899776,2.280697654010974,2.68882056665462,2.2287489324279317,1.4118230403766507,2.124651119866878,2.560888919806375,1.9581837963143323,2.8327100093542303,3.07000641855908,3.70235677194401,2.26723294059192,3.0189104539579494,2.2826600363468788,2.6319662653348725,2.884002140564919,2.326385764143951,1.800636692525412,2.035774073145156,3.4211446630301947,2.0460759517941516,2.0401788443102085
2026,0.44760767521653505,2.158372816941959,2.852936203747156,3.369989579638951,2.442462680519068,3.00848201056357,2.6735356138852437,2.8922333793230517,2.8922333793230517,2.7223289409814186,2.7400676057170195,2.4267135303402765,2.6654726634261774,2.4947999232837264,2.565965352468963,2.3026617895254917,2.5908618682199798,2.407190237062918,1.3617746753916462,1.8514859349923118,2.544264382510252,1.9720264085017085,2.708598529661486,3.232582483110638,3.698340736560672,2.253377618721901,3.069362226959853,2.310731650731174,2.6436838660813304,2.9497753194937717,2.3411961538719743,1.8299008083074328,2.0504001593806813,3.5187711302894393,2.1104648148576355,2.0404390415728995
2027,0.4614184075757213,2.2870966098461865,2.823962889235533,3.170153434242201,2.4294453991097043,3.122923376555575,2.5997868399775697,2.860115134239869,2.860115134239869,2.80713427534366,2.7548955059187255,2.312215300477533,2.7099765174938746,2.4179514335884735,2.583837646292499,2.2483407138918277,2.4939796953033913,2.499402697063533,1.3127609777281382,1.7787419240468745,2.4939258167998197,1.9634321773018757,2.713511809916365,3.305609180348674,3.484181116834693,2.2233576733719653,3.1517369114666436,2.38158530406545,2.6447873331910428,2.974283043147079,2.341032804728128,1.9798866463979579,2.0387318350802577,3.544191685243306,2.1906141661711245,2.1644603208917403
2028,0.4002943215104492,2.4023582903194236,2.7078025051094134,3.078719828598521,2.379244227641582,3.124975583204954,2.5475979720729747,2.818362405092674,2.818362405092674,2.7691755899617307,2.8230352983665234,2.374802784528948,2.7242260788237713,2.2515088425816616,2.6890022321968337,2.284154142565877,2.5233915638629396,2.740581332879632,1.3519071965829907,1.6998560495168389,2.5510057540424054,2.075681035968556,2.662328030374385,3.365455254600483,3.43578052780551,2.236851582167015,3.2459910127942986,2.5860473355135105,2.6966451842405985,2.8864526571856346,2.389738074210752,1.8346019829897615,1.9909882183539478,3.5115986883796957,2.3241551321400644,2.2869771808548696
2029,0.13353314630381335,2.3169431347305527,2.6712949257250203,3.0494903662268604,2.3597820159243037,2.9416642169273137,2.4529245117827068,2.6628470964408635,2.6628470964408635,2.7857440006759355,2.999463941003729,2.444762747821609,2.7162322604667657,2.109030592963314,2.687740719732299,2.3236564073519705,2.4900607038267304,2.7367381519701746,1.2235723023496343,1.7278832819004528,2.562871285363545,2.072417634706074,2.7828436042200355,3.4860500563641743,3.3635026005022004,2.194153547384175,3.442513968823666,2.6750352087431186,2.678942525374117,2.8550977284136154,2.380230730570523,1.7864613513974894,1.9822576345964775,3.5112190190775574,2.4379575108023577,2.465883918042897
2030,-0.03691304270597896,2.3469283797268337,2.6050576600589275,3.155408151965893,2.2971785151218853,2.8479450822873034,2.3786329709192455,2.621589209964912,2.621589209964912,2.8244414574429997,3.101604045541171,2.4535797913020163,2.680724021373823,2.128340639717637,2.746473132793734,2.3368242187409805,2.520137793207418,2.7063568074988584,1.011679159365888,1.686587420391256,2.535404628869555,2.0801310825611665,2.776251869066003,3.576235685183808,3.3917850460768437,2.3393930948500685,3.4122099192453614,2.6453197953536596,2.53233781732644,2.775139904694134,2.306810611002738,1.9075455687345182,1.9669290734798994,3.5425080767565906,2.580425701514909,2.6620680751995427
2031,0.13285024732464712,2.408968242219734,2.5442475729679517,3.0911064813136195,2.3087410411205824,2.7298894823829953,2.380965293114954,2.566057542626791,2.566057542626791,2.8231106557722323,3.1201458273754135,2.4199793699269674,2.7124505413486797,2.0242579007138017,2.8282050662270306,2.228552503058685,2.520178196906279,2.729088741374845,0.9431376453092326,1.5586226614555105,2.598095617851955,2.1668304211334233,2.7100890407069977,3.6724556848994143,3.192815575504643,2.3901978879087844,3.168199415987057,2.613463337679507,2.5261755431648902,2.6749860361775655,2.265870729923707,1.9971430284614826,2.008083337442663,3.4749907372920505,2.5409275654957177,2.722857806790059
2032,0.3440618941407659,2.29679048678762,2.2984534287981107,2.933906059418519,2.385549032064064,2.813254135932059,2.3834481314816007,2.4938227635107935,2.4938227635107935,2.8395471276809996,3.0669536363877277,2.433817953420877,2.7560301366182958,1.9624129234008754,2.7945642323059725,2.227824660202923,2.447442151681384,2.5043042668642905,0.9473317905291639,1.3681878439122201,2.6293293507953397,2.2728105842711073,2.640058478544468,3.785290023721112,3.050821575731927,2.4051912846583567,3.081809269639252,2.6016930672072993,2.4606032367865143,2.5693426620537156,2.2039140181535966,1.9768929404193427,2.0549112224722883,3.283301097245426,2.4596435357730866,2.707597800734662
2033,0.4586892726264029,2.238290054333697,2.2139154022175145,2.8637455881902785,2.3700959230177743,2.800334439965195,2.4188950448212316,2.520505865386458,2.520505865386458,2.742602486149043,3.1026975580611493,2.583943230370709,2.7281359034744472,2.0099870233416124,2.7856234489938188,2.1972942262788218,2.3538748232302678,2.3549988173605487,1.0097263530667873,1.2994457329675162,2.491419160286771,2.284114580493041,2.565584325658515,3.725993805218021,2.9257988873627383,2.4141558793890887,2.913970335399816,2.481666529420612,2.3801831402249434,2.503193124240074,2.1398182189231423,2.1358819176815134,2.050599368843123,3.148330162616771,2.491399143431082,2.8090452425132324
